epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,734.735,0.72612,0.35288,0.88509,0.88619,0.94683,0.92936,0.69939,0.86589,0.39624,1.02495,0.000222875,0.000222875,0.000222875
85,743.416,0.71843,0.35187,0.87978,0.88534,0.93159,0.92967,0.69492,0.89374,0.38873,1.05209,0.0002105,0.0002105,0.0002105
86,752.083,0.74779,0.36398,0.88146,0.91895,0.93341,0.93869,0.70847,0.88047,0.3819,1.03021,0.000198125,0.000198125,0.000198125
87,760.908,0.73025,0.35375,0.88352,0.9115,0.92816,0.9361,0.69504,0.89959,0.38618,1.04547,0.00018575,0.00018575,0.00018575
88,769.72,0.71767,0.34939,0.87726,0.91801,0.90557,0.93145,0.69917,0.88047,0.37768,1.03679,0.000173375,0.000173375,0.000173375
89,778.371,0.71243,0.3467,0.87474,0.92877,0.92008,0.93639,0.69742,0.87038,0.37964,1.03968,0.000161,0.000161,0.000161
90,787.268,0.71261,0.34275,0.87341,0.92299,0.94224,0.94896,0.70405,0.87347,0.37048,1.04409,0.000148625,0.000148625,0.000148625
91,797.231,0.7106,0.3265,0.87283,0.94097,0.9456,0.94785,0.68795,0.91521,0.37892,1.06209,0.00013625,0.00013625,0.00013625
92,805.897,0.69186,0.31376,0.86809,0.914,0.94467,0.94628,0.70343,0.88557,0.38567,1.04345,0.000123875,0.000123875,0.000123875
93,814.308,0.69155,0.30813,0.86275,0.90516,0.94019,0.94646,0.70628,0.87507,0.38034,1.03428,0.0001115,0.0001115,0.0001115
94,822.324,0.67311,0.30539,0.85796,0.9153,0.94012,0.95074,0.71383,0.87109,0.37605,1.03345,9.9125e-05,9.9125e-05,9.9125e-05
95,830.481,0.67758,0.30327,0.86024,0.92818,0.91576,0.93919,0.70666,0.87948,0.38672,1.03336,8.675e-05,8.675e-05,8.675e-05
96,838.396,0.66902,0.30324,0.85926,0.9266,0.91006,0.94208,0.71186,0.86228,0.37514,1.03255,7.4375e-05,7.4375e-05,7.4375e-05
97,846.375,0.67414,0.30006,0.85812,0.89882,0.9446,0.94482,0.71345,0.8552,0.3726,1.03638,6.2e-05,6.2e-05,6.2e-05
98,854.44,0.66411,0.29975,0.85725,0.91041,0.92706,0.94459,0.70879,0.8643,0.36803,1.03991,4.9625e-05,4.9625e-05,4.9625e-05
99,862.608,0.65974,0.29814,0.85511,0.92285,0.928,0.94831,0.71322,0.86609,0.37137,1.03911,3.725e-05,3.725e-05,3.725e-05
100,870.504,0.66281,0.29856,0.85482,0.93193,0.92368,0.9513,0.71885,0.85968,0.36893,1.03442,2.4875e-05,2.4875e-05,2.4875e-05
