epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,624.561,0.83379,0.42911,0.90898,0.93821,0.87705,0.91979,0.65568,0.96604,0.44365,1.068,0.000346625,0.000346625,0.000346625
75,633.042,0.80732,0.41468,0.90826,0.91412,0.94188,0.95399,0.6724,0.94343,0.4419,1.04584,0.00033425,0.00033425,0.00033425
76,641.511,0.82359,0.42263,0.90057,0.91428,0.93385,0.94413,0.6735,0.93352,0.4337,1.04557,0.000321875,0.000321875,0.000321875
77,649.95,0.832,0.42181,0.91078,0.94685,0.89571,0.94523,0.66773,0.93384,0.44439,1.0436,0.0003095,0.0003095,0.0003095
78,658.354,0.82434,0.4182,0.90434,0.91424,0.89911,0.91654,0.66341,0.93708,0.44848,1.05265,0.000297125,0.000297125,0.000297125
79,666.652,0.79683,0.40613,0.90057,0.94157,0.88263,0.91026,0.65696,0.92363,0.44641,1.03156,0.00028475,0.00028475,0.00028475
80,675.113,0.8321,0.4255,0.90458,0.93176,0.93994,0.95564,0.69016,0.91948,0.42461,1.04331,0.000272375,0.000272375,0.000272375
81,683.54,0.81125,0.41349,0.90988,0.93247,0.91867,0.95067,0.68744,0.92091,0.42878,1.03427,0.00026,0.00026,0.00026
82,691.989,0.81368,0.41158,0.9086,0.94261,0.92337,0.95998,0.68767,0.91413,0.40649,1.03732,0.000247625,0.000247625,0.000247625
83,700.444,0.80586,0.40596,0.90115,0.93852,0.90809,0.96355,0.68999,0.91779,0.41957,1.04635,0.00023525,0.00023525,0.00023525
84,708.952,0.80011,0.40997,0.90344,0.9512,0.91195,0.96659,0.68578,0.91258,0.4206,1.03775,0.000222875,0.000222875,0.000222875
85,717.307,0.80392,0.40622,0.90013,0.93389,0.92449,0.95238,0.67536,0.92613,0.41885,1.05538,0.0002105,0.0002105,0.0002105
